event_id,meter_id,consumer_no,substation,feeder_id,zone,phase,voltage_v,current_a,frequency_hz,power_kw,power_factor,temperature_c,event_type,is_anomaly,severity,event_ts,batch_id
2ad766c6-63d2-4d33-a6bf-f2aee7b87f20,TPC4940744,CON297299,SS_009,FDR_02,Mumbai_North,B,227.35,71.33,49.863,14.482,0.893,53.7,NORMAL,False,NORMAL,5/20/2026 4:40,3
a5ca9992-0ee8-49a8-bcba-269110b3feab,TPC2206543,CON374659,SS_005,FDR_03,Lonavala,B,229.27,76.75,50.14,16.717,0.95,38.6,NORMAL,False,NORMAL,5/20/2026 4:40,3
1100f40d-9ea8-4301-bcfb-575555ed41be,TPC5353476,CON663648,SS_015,FDR_07,Lonavala,Y,225.58,51.18,49.88,10.945,0.948,43.6,NORMAL,False,NORMAL,5/20/2026 4:40,3
83d177d1-86f5-4ab8-b744-9ab4c7627ad8,TPC3711921,CON877251,SS_001,FDR_04,Nashik,Y,233.67,53.33,49.914,12.013,0.964,36.8,NORMAL,False,NORMAL,5/20/2026 4:40,3
0352ef54-b5e0-4ca2-8a61-b81535cf474a,TPC9560479,CON446911,SS_014,FDR_09,Mumbai_South,R,227.96,66.81,49.911,13.494,0.886,32.8,NORMAL,False,NORMAL,5/20/2026 4:40,3
3e4474da-fcca-4742-9d3c-a5e3c72c950c,TPC9872409,CON507325,SS_006,FDR_08,Nashik,Y,220.48,2.21,49.881,0.45,0.924,59.2,NORMAL,False,NORMAL,5/20/2026 4:40,3
31efe6fd-58d6-4510-855e-62934eff1450,TPC3062591,CON897438,SS_017,FDR_05,Lonavala,RYB,362.68,24.0,50.076,13.539,0.898,50.6,VOLTAGE_SAG,True,MEDIUM,5/20/2026 4:40,3
2d406d11-d543-431c-8b89-7693aea09f23,TPC9307760,CON562666,SS_008,FDR_05,Mumbai_North,R,231.81,46.99,49.892,10.0,0.918,36.7,NORMAL,False,NORMAL,5/20/2026 4:40,3
2928847b-79f1-4524-8b62-04af1ac535b9,TPC2682621,CON931871,SS_003,FDR_04,Pune,RYB,413.73,20.72,49.992,13.17,0.887,46.8,NORMAL,False,NORMAL,5/20/2026 4:40,3
b14323fa-4a5e-4d80-a88b-6a3494350377,TPC1849722,CON649762,SS_008,FDR_09,Mumbai_North,RYB,418.31,31.07,50.019,19.72,0.876,33.7,NORMAL,False,NORMAL,5/20/2026 4:40,3
4c581288-d2f9-4d73-84ec-ea5cbd80b8da,TPC6846025,CON322356,SS_002,FDR_07,Mumbai_South,B,229.91,64.45,50.115,12.951,0.874,43.0,NORMAL,False,NORMAL,5/20/2026 4:40,3
38041d1d-da35-4a40-bb86-45b3f986679c,TPC3659449,CON218387,SS_013,FDR_02,Pune,R,220.98,78.68,49.892,15.926,0.916,38.3,NORMAL,False,NORMAL,5/20/2026 4:40,3
ca64cc70-6de2-442f-9c1a-149ba26f8b4a,TPC6589719,CON124550,SS_005,FDR_07,Mumbai_South,B,229.59,48.24,49.95,9.935,0.897,48.4,NORMAL,False,NORMAL,5/20/2026 4:40,3
a853cc85-aa5d-448a-9fa5-a8034f71f68a,TPC7911175,CON290747,SS_019,FDR_06,Lonavala,B,192.46,24.31,50.018,4.113,0.879,54.9,VOLTAGE_SAG,True,MEDIUM,5/20/2026 4:40,3
fcc1ad86-afa8-4937-9760-cffed8c39bc6,TPC7162069,CON919441,SS_011,FDR_04,Lonavala,Y,221.66,19.3,50.093,4.103,0.959,44.4,NORMAL,False,NORMAL,5/20/2026 4:40,3
8bbed473-4a9b-4481-9f99-ac62d70c0962,TPC2830288,CON119668,SS_005,FDR_05,Mumbai_North,RYB,418.52,67.46,49.888,46.31,0.947,37.4,NORMAL,False,NORMAL,5/20/2026 4:40,3
d04d0805-b0c4-4e50-abf0-977b137c8058,TPC5126338,CON949566,SS_002,FDR_05,Mumbai_North,Y,221.47,33.55,49.861,7.059,0.95,46.7,NORMAL,False,NORMAL,5/20/2026 4:40,3
7a629362-e839-41e9-9f9a-b72c1011f285,TPC4028848,CON771958,SS_014,FDR_01,Mumbai_South,B,220.14,23.73,50.123,4.581,0.877,57.9,NORMAL,False,NORMAL,5/20/2026 4:40,3
8c0243fe-1814-4764-b849-219a709a95fd,TPC4778474,CON690789,SS_020,FDR_07,Nashik,B,225.36,29.96,49.909,6.61,0.979,52.5,NORMAL,False,NORMAL,5/20/2026 4:40,3
991b4636-035f-4543-9573-8afd95bb1304,TPC1166694,CON278847,SS_008,FDR_05,Lonavala,RYB,409.92,68.02,49.883,45.542,0.943,32.1,NORMAL,False,NORMAL,5/20/2026 4:40,3
2b65152d-b14c-4f88-aba9-696fd8142b0d,TPC9918495,CON870208,SS_020,FDR_08,Nashik,R,234.85,57.46,50.14,12.091,0.896,52.9,NORMAL,False,NORMAL,5/20/2026 4:40,3
db8aaaaa-8493-48ef-88ca-0ef7d1c0d7d3,TPC4063876,CON482116,SS_010,FDR_04,Mumbai_North,RYB,401.71,42.36,50.144,28.619,0.971,35.6,NORMAL,False,NORMAL,5/20/2026 4:40,3
a6901e6d-608d-4a90-9d20-ae3c3953fe32,TPC5430713,CON225545,SS_008,FDR_06,Nashik,Y,220.58,11.27,49.968,2.227,0.896,37.7,NORMAL,False,NORMAL,5/20/2026 4:40,3
055b8246-efed-4d36-9128-a194b617578b,TPC6072538,CON889425,SS_013,FDR_01,Pune,R,221.07,27.48,49.928,5.68,0.935,58.7,NORMAL,False,NORMAL,5/20/2026 4:40,3
478f4bb4-4496-400d-ae65-9cd2b0dfcea0,TPC5069433,CON138689,SS_008,FDR_06,Mumbai_North,RYB,398.53,65.01,49.974,42.227,0.941,53.2,NORMAL,False,NORMAL,5/20/2026 4:40,3
e5047bbc-ee03-4308-b20c-4a493ac95509,TPC4097475,CON338550,SS_010,FDR_03,Mumbai_South,R,238.3,11.97,50.049,2.65,0.929,53.8,NORMAL,False,NORMAL,5/20/2026 4:40,3
8a93f741-a945-4d33-947e-8fa15fb157f4,TPC9339908,CON292130,SS_013,FDR_03,Nashik,R,221.0,68.42,49.861,14.44,0.955,35.2,NORMAL,False,NORMAL,5/20/2026 4:40,3
a880e7aa-2d86-498a-8e29-a9eda7bc7d7a,TPC1484535,CON111228,SS_020,FDR_01,Pune,RYB,441.93,19.77,49.948,14.149,0.935,63.8,VOLTAGE_SPIKE,True,HIGH,5/20/2026 4:40,3
f762da32-84f9-4150-9443-e2b216fe4fdb,TPC2590060,CON120231,SS_012,FDR_05,Pune,RYB,402.52,38.71,49.912,23.264,0.862,33.0,NORMAL,False,NORMAL,5/20/2026 4:40,3
b44bca1b-cdf7-4b2f-ab81-38ee51d30cf6,TPC6859825,CON276187,SS_017,FDR_03,Mumbai_South,B,225.76,78.0,49.91,16.729,0.95,52.0,NORMAL,False,NORMAL,5/20/2026 4:40,3
904f4e80-0555-4fec-9db6-a0d6a2a9e1c3,TPC4263396,CON247172,SS_016,FDR_10,Mumbai_North,R,239.28,30.94,49.928,6.567,0.887,54.4,NORMAL,False,NORMAL,5/20/2026 4:40,3
